index,Year,EmployerName,DepartmentOrSubdivision,Position,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages
0,2009,Carlsbad,City Attorney,Assistant City Attorney,108099,154599.0,147559.0,,,,,147559.0
1,2009,Carlsbad,City Attorney,Assistant City Attorney,108099,154599.0,166988.0,,,,,166988.0
2,2009,Carlsbad,City Attorney,City Attorney,0,236299.0,257057.0,,,,,257057.0
3,2009,Carlsbad,City Attorney,Deputy City Attorney,88500,128300.0,118389.0,,,,,118389.0
4,2009,Carlsbad,City Attorney,Secretary To City Attorney,52800,72600.0,57996.0,,,,,57996.0
242,2009,Chula Vista,City Attorney,Asst City Attorney,130920,159135.0,145770.0,,,,,145770.0
243,2009,Chula Vista,City Attorney,City Attorney,213679,213679.0,229387.0,,,,,229387.0
244,2009,Chula Vista,City Attorney,Deputy City Attorney II,91830,111620.0,105592.0,,,,,105592.0
245,2009,Chula Vista,City Attorney,Deputy City Attorney II,91830,111620.0,94766.0,,,,,94766.0
246,2009,Chula Vista,City Attorney,Deputy City Attorney II,91830,111620.0,35426.0,,,,,35426.0
247,2009,Chula Vista,City Attorney,Deputy City Attorney III,117852,143250.0,14757.0,,,,,14757.0
248,2009,Chula Vista,City Attorney,Deputy City Attorney III,117852,143250.0,141211.0,,,,,141211.0
657,2009,El Cajon,City Attorney,City Attorney,132512,142489.0,142238.0,,,,,142238.0
947,2009,Escondido,City Attorney,Asst City Attorney,132536,178926.0,72074.0,,,,,72074.0
948,2009,Escondido,City Attorney,Asst City Attorney,132536,178926.0,153477.0,,,,,153477.0
949,2009,Escondido,City Attorney,City Attorney,225000,225000.0,259419.0,,,,,259419.0
950,2009,Escondido,City Attorney,Dep City Attorney,73802,99639.0,56206.0,,,,,56206.0
951,2009,Escondido,City Attorney,Dep City Attorney,73802,99639.0,40688.0,,,,,40688.0
952,2009,Escondido,City Attorney,Dep City Attorney,73802,99639.0,78625.0,,,,,78625.0
953,2009,Escondido,City Attorney,Dep City Attorney,73802,99639.0,70794.0,,,,,70794.0
954,2009,Escondido,City Attorney,Dep City Attorney,70297,94897.0,47965.0,,,,,47965.0
955,2009,Escondido,City Attorney,Executive Assistant-City Atty,49747,60467.0,61659.0,,,,,61659.0
1278,2009,La Mesa,City Attorney,City Attorney,93600,93600.0,108471.0,,,,,108471.0
1419,2009,Lemon Grove,City Attorney,City Attorney,66154,66154.0,66154.0,,,,,66154.0
1442,2009,National City,City Attorney,City Attorney,91000,180000.0,240604.0,,,,,240604.0
1443,2009,National City,City Attorney,Sr Assistant City Attorney,81090,134628.0,53187.0,,,,,53187.0
1444,2009,National City,City Attorney,Sr Assistant City Attorney,81090,134629.0,153102.0,,,,,153102.0
1622,2009,Oceanside,City Attorney,Assistant City Attorney - Barbara Hamilton,36000,240000.0,165224.0,,,,,165224.0
1623,2009,Oceanside,City Attorney,City Attorney,36000,240000.0,207063.0,,,,,207063.0
1624,2009,Oceanside,City Attorney,Deputy City Attorney II,36000,240000.0,112991.0,,,,,112991.0
1625,2009,Oceanside,City Attorney,Deputy City Attorney II - Dborah Nash,36000,240000.0,130043.0,,,,,130043.0
1626,2009,Oceanside,City Attorney,Deputy City Attorney II - Leslie Gallagher,36000,240000.0,130511.0,,,,,130511.0
1627,2009,Oceanside,City Attorney,Supervising Deputy City Attorney - Tarquin Preziosi,36000,240000.0,148652.0,,,,,148652.0
2001,2009,San Diego,City Attorney,Assistant City Attorney,73008,291595.0,151032.0,,,,,151032.0
2002,2009,San Diego,City Attorney,Assistant City Attorney,73008,291595.0,152960.0,,,,,152960.0
2003,2009,San Diego,City Attorney,Assistant City Attorney,73008,291595.0,18010.0,,,,,18010.0
2004,2009,San Diego,City Attorney,Assistant City Attorney,73008,291595.0,24080.0,,,,,24080.0
2005,2009,San Diego,City Attorney,Assistant City Attorney,73008,291595.0,110181.0,,,,,110181.0
2006,2009,San Diego,City Attorney,Assistant City Attorney,73008,291595.0,168063.0,,,,,168063.0
2007,2009,San Diego,City Attorney,Assistant City Attorney,73008,291595.0,36875.0,,,,,36875.0
2008,2009,San Diego,City Attorney,Assistant City Attorney,73008,291595.0,24221.0,,,,,24221.0
2009,2009,San Diego,City Attorney,Assistant City Attorney,73008,291595.0,25564.0,,,,,25564.0
2010,2009,San Diego,City Attorney,City Attorney,73008,291595.0,214.0,,,,,214.0
2011,2009,San Diego,City Attorney,City Attorney,73008,291595.0,198086.0,,,,,198086.0
2012,2009,San Diego,City Attorney,City Attorney Investigator,58219,70428.0,74364.0,,,,,74364.0
2013,2009,San Diego,City Attorney,City Attorney Investigator,58219,70428.0,75063.0,,,,,75063.0
2014,2009,San Diego,City Attorney,City Attorney Investigator,58219,70428.0,71272.0,,,,,71272.0
2015,2009,San Diego,City Attorney,City Attorney Investigator,58219,70428.0,75045.0,,,,,75045.0
2016,2009,San Diego,City Attorney,City Attorney Investigator,58219,70428.0,69186.0,,,,,69186.0
2017,2009,San Diego,City Attorney,City Attorney Investigator,58219,70428.0,67706.0,,,,,67706.0
