index,Year,EmployerName,DepartmentOrSubdivision,Position,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages
5,2009,Carlsbad,Fire Admin,Fire Chief,124300,180300.0,187695.0,,,,,187695.0
6,2009,Carlsbad,Fire Emergency Operations,Fire Battalion  Chief,88500,128300.0,149097.0,,,,,149097.0
7,2009,Carlsbad,Fire Emergency Operations,Fire Battalion  Chief,88500,128300.0,5030.0,,,,,5030.0
8,2009,Carlsbad,Fire Emergency Operations,Fire Battalion  Chief,88500,128300.0,156304.0,,,,,156304.0
9,2009,Carlsbad,Fire Emergency Operations,Fire Battalion  Chief,88500,128300.0,152961.0,,,,,152961.0
10,2009,Carlsbad,Fire Emergency Operations,Fire Battalion  Chief,88500,128300.0,165089.0,,,,,165089.0
11,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,123971.0,,,,,123971.0
12,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,131217.0,,,,,131217.0
13,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,117951.0,,,,,117951.0
14,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,113849.0,,,,,113849.0
15,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,133250.0,,,,,133250.0
16,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,9660.0,,,,,9660.0
17,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,130147.0,,,,,130147.0
18,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,126063.0,,,,,126063.0
19,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,118167.0,,,,,118167.0
20,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,113779.0,,,,,113779.0
21,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,124521.0,,,,,124521.0
22,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,127554.0,,,,,127554.0
23,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,137406.0,,,,,137406.0
24,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,140358.0,,,,,140358.0
25,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,122268.0,,,,,122268.0
26,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,133724.0,,,,,133724.0
27,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,129182.0,,,,,129182.0
28,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,140715.0,,,,,140715.0
29,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,133125.0,,,,,133125.0
30,2009,Carlsbad,Fire Emergency Operations,Fire Captain,74920,91066.0,133907.0,,,,,133907.0
31,2009,Carlsbad,Fire Emergency Operations,Fire Division Chief,108099,154599.0,152895.0,,,,,152895.0
32,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,115205.0,,,,,115205.0
33,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,123593.0,,,,,123593.0
34,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,110487.0,,,,,110487.0
35,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,104533.0,,,,,104533.0
36,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,123311.0,,,,,123311.0
37,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,93760.0,,,,,93760.0
38,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,107485.0,,,,,107485.0
39,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,120684.0,,,,,120684.0
40,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,115520.0,,,,,115520.0
41,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,95254.0,,,,,95254.0
42,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,103367.0,,,,,103367.0
43,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,117029.0,,,,,117029.0
44,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,98807.0,,,,,98807.0
45,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,94018.0,,,,,94018.0
46,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,111443.0,,,,,111443.0
47,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,115177.0,,,,,115177.0
48,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,92862.0,,,,,92862.0
49,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,97063.0,,,,,97063.0
50,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,115658.0,,,,,115658.0
51,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,102741.0,,,,,102741.0
52,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,115487.0,,,,,115487.0
53,2009,Carlsbad,Fire Emergency Operations,Fire Engineer,63969,77755.0,102029.0,,,,,102029.0
