index,Year,EmployerName,DepartmentOrSubdivision,Position,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages
237,2009,Chula Vista,Amer. Recovery & Reinvest. Act,Police Agent,69075,83961.0,104842.0,,,,,104842.0
238,2009,Chula Vista,Amer. Recovery & Reinvest. Act,Police Agent,69075,83961.0,102093.0,,,,,102093.0
239,2009,Chula Vista,Amer. Recovery & Reinvest. Act,Police Comm Relations Spec,43512,52889.0,50580.0,,,,,50580.0
240,2009,Chula Vista,Central Garage Fund,Fire Apparatus Mech,56075,68159.0,71752.0,,,,,71752.0
241,2009,Chula Vista,Central Garage Fund,Fire Apparatus Mech,56075,68159.0,63498.0,,,,,63498.0
378,2009,Chula Vista,Library,School Site Coordinator,37966,46147.0,17794.0,,,,,17794.0
379,2009,Chula Vista,Library,School Site Coordinator,37966,46147.0,18746.0,,,,,18746.0
380,2009,Chula Vista,Library,School Site Coordinator,37966,46147.0,16484.0,,,,,16484.0
381,2009,Chula Vista,Library,School Site Coordinator,37966,46147.0,20659.0,,,,,20659.0
382,2009,Chula Vista,Library,School Site Coordinator,37966,46147.0,14235.0,,,,,14235.0
383,2009,Chula Vista,Library,School Site Coordinator,37966,46147.0,18471.0,,,,,18471.0
384,2009,Chula Vista,Library,School Site Coordinator,37966,46147.0,15426.0,,,,,15426.0
547,2009,Chula Vista,Supp Law Enforcement Serv Fund,Police Training & Dev Supv,64057,77862.0,81864.0,,,,,81864.0
730,2009,El Cajon,Planning,Building Officer/Fire Marshall,92705,112964.0,117987.0,,,,,117987.0
731,2009,El Cajon,Planning,Fire Safety Specialist,51646,62920.0,25182.0,,,,,25182.0
1261,2009,Imperial Beach,Parks & Recreation,Ps Director/Fire Chief,69686,125435.0,134670.0,,,,,134670.0
1262,2009,Imperial Beach,Public Safety,Fire Captain,59573,76032.0,94974.0,,,,,94974.0
1263,2009,Imperial Beach,Public Safety,Fire Captain,59573,76032.0,101637.0,,,,,101637.0
1264,2009,Imperial Beach,Public Safety,Fire Captain,59573,76032.0,87886.0,,,,,87886.0
1265,2009,Imperial Beach,Public Safety,Fire Engineer,50336,64244.0,74788.0,,,,,74788.0
1266,2009,Imperial Beach,Public Safety,Fire Engineer Paramedic,54113,69060.0,97226.0,,,,,97226.0
1267,2009,Imperial Beach,Public Safety,Fire Engineer Paramedic,54113,69060.0,86644.0,,,,,86644.0
1268,2009,Imperial Beach,Public Safety,Fire/Safety Inspector,62589,79880.0,22270.0,,,,,22270.0
1269,2009,Imperial Beach,Public Safety,Fire/Safety Inspector,62589,79880.0,16453.0,,,,,16453.0
1270,2009,Imperial Beach,Public Safety,Fire/Safety Inspector,62589,79880.0,8852.0,,,,,8852.0
1271,2009,Imperial Beach,Public Safety,Firefighter/Paramedic,50342,64250.0,49177.0,,,,,49177.0
1272,2009,Imperial Beach,Public Safety,Firefighter/Paramedic,50342,64250.0,73160.0,,,,,73160.0
1273,2009,Imperial Beach,Public Safety,Firefighter/Paramedic,50342,64250.0,66846.0,,,,,66846.0
1274,2009,Imperial Beach,Public Safety,Firefighter/Paramedic,50342,64250.0,60686.0,,,,,60686.0
1275,2009,Imperial Beach,Public Safety,Firefighter/Paramedic,50342,64250.0,6253.0,,,,,6253.0
1276,2009,Imperial Beach,Public Safety,Firefighter/Paramedic,50342,64250.0,76811.0,,,,,76811.0
1277,2009,Imperial Beach,Public Safety,Residential Fire/Safety Insp,35393,45165.0,18651.0,,,,,18651.0
1947,2009,Poway,Safety Services Department,Fire Captain,71009,86311.0,112209.0,,,,,112209.0
1948,2009,Poway,Safety Services Department,Fire Captain,71009,86311.0,53322.0,,,,,53322.0
1949,2009,Poway,Safety Services Department,Fire Captain,71009,86311.0,104914.0,,,,,104914.0
1950,2009,Poway,Safety Services Department,Fire Captain,71009,86311.0,113522.0,,,,,113522.0
1951,2009,Poway,Safety Services Department,Fire Captain/Paramedic,74573,90644.0,125558.0,,,,,125558.0
1952,2009,Poway,Safety Services Department,Fire Captain/Paramedic,74573,90644.0,117889.0,,,,,117889.0
1953,2009,Poway,Safety Services Department,Fire Captain/Paramedic,74573,90644.0,103527.0,,,,,103527.0
1954,2009,Poway,Safety Services Department,Fire Captain/Paramedic,74573,90644.0,105239.0,,,,,105239.0
1955,2009,Poway,Safety Services Department,Fire Captain/Paramedic,74573,90644.0,103735.0,,,,,103735.0
1956,2009,Poway,Safety Services Department,Fire Captain/Paramedic,74573,90644.0,112196.0,,,,,112196.0
1957,2009,Poway,Safety Services Department,Fire Captain/Paramedic,74573,90644.0,114446.0,,,,,114446.0
1958,2009,Poway,Safety Services Department,Fire Captain/Paramedic,74573,90644.0,116247.0,,,,,116247.0
1959,2009,Poway,Safety Services Department,Fire Captain/Paramedic,74573,90644.0,120795.0,,,,,120795.0
1960,2009,Poway,Safety Services Department,Fire Division Chief,100815,122556.0,112164.0,,,,,112164.0
1961,2009,Poway,Safety Services Department,Fire Division Chief,100815,122556.0,129624.0,,,,,129624.0
1962,2009,Poway,Safety Services Department,Fire Division Chief,100815,122556.0,126326.0,,,,,126326.0
1963,2009,Poway,Safety Services Department,Fire Division Chief,100815,122556.0,128604.0,,,,,128604.0
1964,2009,Poway,Safety Services Department,Fire Engineer,60875,73993.0,95540.0,,,,,95540.0
1965,2009,Poway,Safety Services Department,Fire Engineer,60875,73993.0,95650.0,,,,,95650.0
1966,2009,Poway,Safety Services Department,Fire Engineer/Paramedic,63918,77692.0,92948.0,,,,,92948.0
1967,2009,Poway,Safety Services Department,Fire Engineer/Paramedic,63918,77692.0,102474.0,,,,,102474.0
1968,2009,Poway,Safety Services Department,Fire Engineer/Paramedic,63918,77692.0,20832.0,,,,,20832.0
1969,2009,Poway,Safety Services Department,Fire Engineer/Paramedic,63918,77692.0,103646.0,,,,,103646.0
1970,2009,Poway,Safety Services Department,Fire Engineer/Paramedic,63918,77692.0,88690.0,,,,,88690.0
1971,2009,Poway,Safety Services Department,Fire Engineer/Paramedic,63918,77692.0,95253.0,,,,,95253.0
1972,2009,Poway,Safety Services Department,Fire Engineer/Paramedic,63918,77692.0,106503.0,,,,,106503.0
1973,2009,Poway,Safety Services Department,Fire Engineer/Paramedic,63918,77692.0,102593.0,,,,,102593.0
1974,2009,Poway,Safety Services Department,Fire Engineer/Paramedic,63918,77692.0,110000.0,,,,,110000.0
1975,2009,Poway,Safety Services Department,Fire Engineer/Paramedic,63918,77692.0,103076.0,,,,,103076.0
1976,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,93268.0,,,,,93268.0
1977,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,79649.0,,,,,79649.0
1978,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,95079.0,,,,,95079.0
1979,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,17606.0,,,,,17606.0
1980,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,122194.0,,,,,122194.0
1981,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,101079.0,,,,,101079.0
1982,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,98996.0,,,,,98996.0
1983,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,88756.0,,,,,88756.0
1984,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,95210.0,,,,,95210.0
1985,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,104499.0,,,,,104499.0
1986,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,59182.0,,,,,59182.0
1987,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,79728.0,,,,,79728.0
1988,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,93190.0,,,,,93190.0
1989,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,89041.0,,,,,89041.0
1990,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,90366.0,,,,,90366.0
1991,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,88185.0,,,,,88185.0
1992,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,86804.0,,,,,86804.0
1993,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,84050.0,,,,,84050.0
1994,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,107114.0,,,,,107114.0
1995,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,95124.0,,,,,95124.0
1996,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,92461.0,,,,,92461.0
1997,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,95939.0,,,,,95939.0
1998,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,91303.0,,,,,91303.0
1999,2009,Poway,Safety Services Department,Firefighter/Paramedic,60100,73050.0,95488.0,,,,,95488.0
2000,2009,Poway,Safety Services Department,Senior Fire Safety Inspector,62912,76470.0,80570.0,,,,,80570.0
2215,2009,San Diego,Civil Service Approved Leave,Police Detective,65998,79747.0,21977.0,,,,,21977.0
2216,2009,San Diego,Civil Service Approved Leave,Police Officer II,62836,75940.0,38836.0,,,,,38836.0
2217,2009,San Diego,Civil Service Approved Leave,Police Officer II,62836,75940.0,32113.0,,,,,32113.0
2218,2009,San Diego,Development Services,Fire Prevention Inspector II,61588,74464.0,4197.0,,,,,4197.0
2219,2009,San Diego,Development Services,Fire Prevention Inspector II,61588,74464.0,139194.0,,,,,139194.0
2220,2009,San Diego,Development Services,Fire Prevention Inspector II/Civ,61588,74464.0,41751.0,,,,,41751.0
2221,2009,San Diego,Development Services,Senior Engineer-Fire Protection,76793,92851.0,126314.0,,,,,126314.0
2222,2009,San Diego,Ethics Commission,City Attorney Investigator,58219,70428.0,67129.0,,,,,67129.0
2223,2009,San Diego,Ethics Commission,Senior City Attorney Investigator,63793,77313.0,82616.0,,,,,82616.0
3235,2009,San Diego,Homeland Security,Police Sergeant,76273,92206.0,39460.0,,,,,39460.0
